procedure_full,proc,start_time,start_dt,source_file,file_idx,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,VDS,VG end,VG start,VG step,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757698240.6736202,2025-09-12T14:30:40.673620,LaserCalibration2025-09-12_5.csv,5,,,,,,Pa medir luz,,365,1.1.1,,2 s,,,,,1757698240.6736202,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.IVg.IVg,IVg,1757699142.1032941,2025-09-12T14:45:42.103294,IVg2025-09-12_5.csv,5,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757699142.1032941,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757699678.8075054,2025-09-12T14:54:38.807505,IVg2025-09-12_6.csv,6,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757699678.8075054,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757699763.1361477,2025-09-12T14:56:03.136148,It2025-09-12_1.csv,1,0.001 A,1,,Alisson,75,Light testing 365 mn,0.88 V,365,2.2.0,other,,-3 V,,,,1757699763.1361477,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757699950.694987,2025-09-12T14:59:10.694987,It2025-09-12_2.csv,2,0.001 A,1,,Alisson,75,Light testing 365 mn,1.78 V,365,2.2.0,other,,-3 V,,,,1757699950.694987,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757700137.8766737,2025-09-12T15:02:17.876674,It2025-09-12_3.csv,3,0.001 A,1,,Alisson,75,Light testing 365 mn,2.74 V,365,2.2.0,other,,-3 V,,,,1757700137.8766737,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757700325.0110948,2025-09-12T15:05:25.011095,It2025-09-12_4.csv,4,0.001 A,1,,Alisson,75,Light testing 365 mn,3.71 V,365,2.2.0,other,,-3 V,,,,1757700325.0110948,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757700512.2396557,2025-09-12T15:08:32.239656,It2025-09-12_5.csv,5,0.001 A,1,,Alisson,75,Light testing 365 mn,4.71 V,365,2.2.0,other,,-3 V,,,,1757700512.2396557,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757701519.3396559,2025-09-12T15:25:19.339656,IVg2025-09-12_7.csv,7,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757701519.3396559,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757701613.701309,2025-09-12T15:26:53.701309,It2025-09-12_6.csv,6,0.001 A,1,,Alisson,75,Light testing 365 mn,0.88 V,365,2.2.0,other,,3 V,,,,1757701613.701309,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757701800.696954,2025-09-12T15:30:00.696954,It2025-09-12_7.csv,7,0.001 A,1,,Alisson,75,Light testing 365 mn,1.78 V,365,2.2.0,other,,3 V,,,,1757701800.696954,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757701987.8982081,2025-09-12T15:33:07.898208,It2025-09-12_8.csv,8,0.001 A,1,,Alisson,75,Light testing 365 mn,2.74 V,365,2.2.0,other,,3 V,,,,1757701987.8982081,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757702174.9235747,2025-09-12T15:36:14.923575,It2025-09-12_9.csv,9,0.001 A,1,,Alisson,75,Light testing 365 mn,3.71 V,365,2.2.0,other,,3 V,,,,1757702174.9235747,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757702362.0178366,2025-09-12T15:39:22.017837,It2025-09-12_10.csv,10,0.001 A,1,,Alisson,75,Light testing 365 mn,4.71 V,365,2.2.0,other,,3 V,,,,1757702362.0178366,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757704681.6921594,2025-09-12T16:18:01.692159,IVg2025-09-12_8.csv,8,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757704681.6921594,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757705130.7832413,2025-09-12T16:25:30.783241,LaserCalibration2025-09-12_6.csv,6,,,,,,Pa medir luz,,455,1.1.1,,2 s,,,,,1757705130.7832413,,,,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.IVg.IVg,IVg,1757705484.3053443,2025-09-12T16:31:24.305344,IVg2025-09-12_9.csv,9,0.001 A,1,0 s,Alisson,75,monitoring,0 V,455,2.1.0,other,0 s,,,,,1757705484.3053443,0.1 V,5 V,-5 V,0.05 V,,,,,,,,,,,
laser_setup.procedures.It.It,It,1757705570.6602063,2025-09-12T16:32:50.660206,It2025-09-12_11.csv,11,0.001 A,1,,Alisson,75,Light testing 455 mn,0.9 V,455,2.2.0,other,,-3 V,,,,1757705570.6602063,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
laser_setup.procedures.It.It,It,1757705757.7563446,2025-09-12T16:35:57.756345,It2025-09-12_12.csv,12,0.001 A,1,,Alisson,75,Light testing 455 mn,1.71 V,455,2.2.0,other,,-3 V,,,,1757705757.7563446,0.1 V,,,,120 s,0 C,120 s,0 s,25 C,,,,,,
